time_ms,voltage_mV,input_current_nA,spike
907.6500000000001,-40.03730263652459,19.678178029103876,1
693.3600000000001,-41.591457172467955,19.47274875764113,0
1522.4700000000003,-40.027752355476856,20.216873063893658,1
1240.3000000000002,-40.03566326721834,20.18232841630491,1
795.3100000000001,-62.305493296741155,19.704856813575397,0
1561.08,-51.41795859322149,19.966586471496655,0
1265.0400000000002,-40.14683023885218,20.094599213498945,1
1895.8300000000002,-40.05951662907613,20.03334757806796,1
588.2,-40.05796615347365,20.313089317959047,1
55.720000000000006,-63.2233472596808,19.29556054599762,0
1872.47,-46.60008873113933,20.29693584023434,0
1732.9900000000002,-65.0,19.931816076973213,0
474.41,-40.104614776190544,20.277946453224626,1
1292.15,-46.8678841527612,19.842787947314125,0
1263.91,-65.0,19.98898908182785,0
156.45,-40.111390286698644,19.600091787390884,1
764.57,-61.534134790723755,20.5090654789692,0
396.36,-40.04483491669618,19.4866994324531,1
83.85000000000001,-53.43495329490892,20.062096593182567,0
999.9700000000001,-40.114671842108166,19.473346927269283,1
102.89,-61.363487155105595,20.135304733390495,0
353.25,-46.84587907469249,19.77464490230291,0
1609.42,-51.29900508123799,20.458457724654043,0
689.69,-46.62773139203852,19.709382093193906,0
1080.3400000000001,-40.040234213730855,19.807769636047578,1
1238.7400000000002,-40.1412333960034,20.04694518974874,1
183.55,-50.87476077526147,19.317511184835332,0
1061.5100000000002,-61.376071339608195,20.052337230874794,0
671.4300000000001,-40.142528330528854,20.656900671239615,1
573.5100000000001,-44.78615406242013,20.169216346162894,0
1607.0000000000002,-40.02522063085048,19.19287507640663,1
787.3500000000001,-50.21009334827388,20.443916478862434,0
788.2,-53.476315658087984,20.27356394344299,0
1041.01,-40.03229856088878,20.082432592578396,1
1828.95,-57.71977834607077,19.941040134816372,0
1835.15,-40.08984372273454,20.564640797994723,1
459.0,-57.76567241026178,19.785921667478032,0
1680.64,-40.14390147102058,19.61190836190888,1
246.32,-51.52606926440008,19.57747615411829,0
844.11,-40.144296305548124,19.286344492613892,1
176.11,-41.37192352315095,19.754145509125223,0
1490.19,-63.90152690921655,18.970992729723456,0
68.8,-40.12230005771716,20.10162176809063,1
1399.99,-48.66513993177988,19.796469559179386,0
243.56000000000003,-40.115671579339384,20.069869180385933,1
299.82000000000005,-45.53615767367883,20.21549850263243,0
481.07000000000005,-40.126115810457705,20.201451864461717,1
1152.73,-40.086072882559,19.096760339389952,1
1892.54,-53.59570077230976,20.9014626345194,0
465.18,-62.88687029416763,20.65771120476014,0
1323.6100000000001,-40.10365143307607,20.100874442089683,1
1836.91,-40.84796903011444,20.500316761853252,0
976.7900000000001,-40.11169111555635,20.050214517036153,1
1977.0100000000002,-40.06022388429726,19.969183482780835,1
1847.91,-40.041887886260255,20.158619115533416,1
951.2600000000001,-47.736996569674076,20.50302667149411,0
290.09000000000003,-63.62812925207448,19.938955402158506,0
1959.78,-62.23931154356253,20.237762819888633,0
1630.6200000000001,-40.037950879101714,20.097926153594525,1
1119.7,-40.01672032345856,20.497187412955164,1
429.83000000000004,-64.29860680110612,20.31261211388268,0
1268.39,-62.91834049908245,20.191098108223628,0
159.28,-40.048482045989985,20.041191923207812,1
608.1,-58.843831770474445,20.78830115177506,0
1884.0100000000002,-40.03195896240351,19.96884186219145,1
1540.76,-51.485482619942964,20.712753724080297,0
1797.6100000000001,-46.334869810651966,20.104343662885206,0
318.52000000000004,-64.53463516173272,20.167602665894407,0
474.29,-40.109347185774645,20.307348988800015,1
1370.93,-55.42174775197516,20.596432876177477,0
380.74,-40.025097773346396,20.184663480252407,1
34.28,-48.16949385340457,19.589183221657798,0
510.19,-41.14692871192268,19.397089208535583,0
1564.31,-40.042792677810304,19.96693419513924,1
1568.51,-40.12815642667508,20.063427005908533,1
1982.5100000000002,-40.131547553691846,20.254952233872167,1
945.2900000000001,-40.08008393717194,20.02129310666396,1
1331.15,-40.09592216998685,19.961013682835517,1
314.96000000000004,-51.48689826813577,20.82723110444191,0
1199.38,-47.819601054489524,20.630291148208013,0
1523.63,-50.404452795625275,20.138671843325483,0
265.42,-40.019966873328244,20.372932700389512,1
728.0000000000001,-40.09358451678292,20.11125765528557,1
65.30000000000001,-55.430201312627,20.03222977842172,0
1001.5899999999999,-40.123149590688534,19.338420858871917,1
1482.63,-58.15793721883804,20.06798744698775,0
873.5,-40.13071272161783,19.698321413764624,1
431.87,-58.9237258088994,19.230243352408696,0
1160.25,-43.39592973692992,19.968114337423188,0
1975.45,-40.11825221501978,19.497767669663162,1
1810.3700000000001,-59.92237872075865,20.548809237835734,0
1030.84,-50.89572049887701,19.902746648003674,0
1899.49,-40.07624737552923,20.835287481673067,1
581.76,-40.02262311203747,20.439797145131628,1
59.43,-43.272114250692006,19.606110363943547,0
1018.6500000000001,-41.59334822625697,19.709501273229634,0
226.98000000000002,-48.28431873358457,19.872177705069998,0
1433.8400000000001,-40.07634122100488,20.62946744959802,1
1208.28,-40.027165894608586,20.845906317791183,1
1757.3500000000001,-44.87431747234026,21.338385804226643,0
1250.5700000000002,-40.06427582969445,19.790608148423562,1
1875.7400000000002,-48.497325981274116,20.829594251157843,0
445.42,-49.86370195796522,20.028103348488372,0
606.1200000000001,-40.07217222517157,20.195145004151374,1
804.37,-52.69796759695611,20.61249803082097,0
792.94,-52.49318178556511,19.929981639650656,0
1112.97,-40.09361776402288,20.177362924001528,1
880.7300000000001,-47.94332559008832,20.06097184134286,0
164.38000000000002,-40.00064813720037,19.20649411231439,1
54.28,-40.06935021512173,19.783953871132375,1
1122.18,-40.01469071635322,20.87348065474067,1
1085.31,-40.13021663798552,20.346489572743568,1
379.31,-46.090708615314014,20.069465623890714,0
84.59000000000002,-40.108107739383,20.214929735198805,1
1835.05,-40.04854269116774,20.52279334152453,1
424.2,-62.213691878001846,20.333845309627538,0
287.44,-40.05101994205324,20.300664740234563,1
395.36,-40.0579899047104,19.33272306813766,1
603.4900000000001,-40.09097382103308,20.080055367751086,1
1252.5600000000002,-54.281264207768736,19.950607318830116,0
318.23,-40.078090532015985,20.262478791328984,1
54.900000000000006,-52.056198638261094,19.593036951112225,0
1846.6700000000003,-46.43641282336284,20.455396636313566,0
442.54,-49.26347645069752,19.91017159991003,0
1860.23,-58.93905250598044,20.143109701184073,0
178.45000000000002,-48.53519449305532,19.983057429514517,0
1106.22,-40.082796596230374,19.24971945078341,1
777.0,-40.11952574411827,20.25939054197287,1
884.6100000000001,-51.986075613205436,20.403245912743188,0
1920.3200000000002,-62.08805927309979,19.65765156135034,0
995.2,-40.108115202799965,19.79500300473038,1
544.4100000000001,-43.96865472504999,19.244174883514347,0
1536.18,-42.049915543806975,19.973598669684737,0
1647.93,-40.04424711212508,19.203790654268953,1
1854.7000000000003,-58.18988858750283,19.30313381360324,0
996.1400000000001,-43.02835817216613,19.72409371011083,0
481.00000000000006,-60.67741275070243,20.269386408625014,0
716.84,-40.04203451340296,19.48348037483723,1
1802.16,-62.52896130925141,19.619050865233664,0
1928.2500000000002,-64.55640313152904,19.090640717931578,0
1287.3300000000002,-40.152344669744124,19.821424484986323,1
244.65,-40.011888141007056,20.066754409587627,1
1222.32,-64.10900459513017,19.184977084042245,0
1362.9,-40.14377440054284,19.652991592419163,1
1584.44,-61.82085702906352,20.11168379010173,0
1684.15,-47.09434227619266,20.24693993891652,0
1326.8500000000001,-40.041468911780385,20.73871193206311,1
917.63,-53.08403756844777,19.97433811714532,0
91.01,-63.40544826644279,19.823842630671976,0
1482.5000000000002,-41.75402983391914,19.888503976493997,0
1119.8799999999999,-40.044674796384655,20.4439757179408,1
843.3900000000001,-40.085560651220675,19.58638353993741,1
747.94,-40.19461618297167,19.996567901932067,0
1188.18,-61.13205801543095,20.135036119338718,0
1323.0600000000002,-40.13148053561035,19.91757431174433,1
367.1,-61.04329133415138,20.633545335122804,0
556.5500000000001,-42.240154815009284,20.00391437708181,0
1264.21,-40.111409711279634,20.111451960340634,1
1767.8300000000002,-46.26745815967685,20.67587570151366,0
689.82,-62.52558111185621,19.774726978716508,0
1599.63,-40.044415832947124,19.893686033870605,1
1312.91,-58.39988664007957,20.317270340554586,0
1499.6200000000001,-56.56097442579083,19.907175057973124,0
626.6400000000001,-46.09486110140878,19.47733873202279,0
1378.7900000000002,-51.51490722684074,19.39156093006434,0
1265.2500000000002,-54.80917646780053,20.106958591384018,0
1036.0500000000002,-40.08478784177263,20.35158991482143,1
987.5400000000001,-44.35157720827443,20.411373324349924,0
1274.3000000000002,-40.06959340205618,20.15727097266973,1
815.34,-40.05542183216247,19.76804781726058,1
1791.9600000000003,-46.44461743707758,19.424505960547325,0
513.3199999999999,-48.3529467574861,19.52433875255864,0
1519.94,-41.22431614849137,20.822307191374453,0
62.14000000000001,-42.516473477346715,20.15115158032582,0
1721.98,-47.98436802963836,20.318359847879236,0
1882.3400000000001,-40.13889994819827,20.448261227334356,1
1692.86,-40.132658369145396,20.301845320133744,1
1596.6000000000001,-54.904511546464136,19.85419337069267,0
97.01,-48.12228478874609,20.242170348868406,0
302.89000000000004,-40.03823185633534,20.316484303917708,1
55.61000000000001,-40.078531444758326,19.321169149925495,1
415.80000000000007,-40.13385140715935,20.07402582241264,1
986.6600000000001,-40.16197476750422,20.606512960419334,1
539.6700000000001,-40.133377059423076,20.453911750940314,1
995.8500000000001,-46.5318231176071,19.735328172018328,0
1563.9,-40.06288399268304,19.896725095666227,1
1420.65,-40.073354674232874,19.129287681446787,1
1790.4700000000003,-40.00766367311401,19.35330794187612,1
342.69000000000005,-40.12969811699867,20.66306489084885,1
1518.0500000000002,-47.258382155943906,21.073456889387053,0
430.24,-44.45648233289524,20.078622110849576,0
1357.9800000000002,-48.122668791789586,20.331319960640922,0
76.6,-42.54993424765833,19.27693187307497,0
96.23,-40.07982088056941,20.25605455028224,1
1093.07,-40.291949848210145,19.877876810021423,0
1623.3500000000001,-61.63746188706803,19.858623487856246,0
75.4,-40.09026396810361,19.31798553579377,1
769.21,-40.05930179685014,19.29428830675275,1
1883.73,-57.89221954564216,20.17337802544168,0
1897.0000000000002,-40.119292255881625,19.938203482233476,1
799.0500000000001,-40.138496892007964,19.398061252355998,1
1468.8600000000001,-40.117980073703805,20.08946782541247,1
1282.27,-55.40201189720749,19.924120479205,0
531.85,-50.55288918324813,20.08400805199966,0
66.16000000000001,-40.70163502610511,19.985896713860043,0
633.7,-40.11584619106488,20.14620338914032,1
851.19,-40.000222255408126,20.282821988332046,1
1968.44,-63.84241421616675,20.239722376268826,0
721.52,-40.08704451591713,20.33169971953263,1
982.5,-40.07174464150101,20.41103342315467,1
1826.65,-61.41992486772971,19.85307352652088,0
520.6700000000001,-40.07185652345803,20.093129205239954,1
1888.23,-52.263622770641064,19.696782169403622,0
1752.8700000000001,-55.82215655893237,20.60336115340466,0
1311.08,-50.937500991216766,20.215555309534853,0
309.86,-52.99551992312532,19.39889432144728,0
384.56,-56.7441659386935,20.207715947704575,0
1681.0800000000002,-40.12040262647321,19.521457721185932,1
1071.5400000000002,-56.1017166204791,20.332831761602883,0
419.75,-53.459789918225916,20.560970613586512,0
1657.8700000000001,-43.257672397673026,20.665954567844903,0
1695.3400000000001,-42.64418755196176,19.547062028072677,0
667.63,-52.50640020094148,20.390671473196473,0
959.1200000000001,-40.05593958374852,19.442350542386933,1
835.32,-40.071381862807556,19.2484249212359,1
671.42,-45.21447108015696,20.63776771514162,0
817.4300000000001,-40.79368707577947,19.640023736483585,0
1103.49,-60.1893523523396,19.354439166605363,0
213.49,-53.15499147158624,19.819835449974125,0
1021.6,-54.9852557574359,19.31942232150843,0
1269.59,-40.12202264726219,19.919643771930566,1
529.76,-40.14884123507703,19.983296325920342,1
546.59,-52.00746747347168,19.43870550176076,0
50.330000000000005,-40.03241783101243,19.79194916531319,1
1014.59,-40.10174463781738,20.150051269294732,1
1429.9700000000003,-40.086816087760354,19.687157341402667,1
1917.2000000000003,-60.483212588913986,20.09125393489148,0
533.3,-44.15093666249877,20.503478860921167,0
682.4300000000001,-47.17699301357611,19.039767144314972,0
88.37,-40.111107059068985,20.790727996438363,1
742.4200000000001,-40.00563307082195,20.170181784281308,1
996.3700000000001,-59.461894424797336,19.811543704155437,0
168.32000000000002,-40.00712812968008,19.93943436008236,1
1925.13,-41.130415063033844,19.627113940062095,0
1862.75,-40.04524638558711,19.97222925541582,1
1183.8600000000001,-40.13562597667265,20.00333815977409,1
314.67,-40.06263427503869,20.792014767816436,1
925.1400000000001,-40.122206653655134,19.302109282282075,1
660.5500000000001,-57.89698121032787,20.134269712342803,0
72.74,-40.15208265395729,19.68326501460528,1
1301.8400000000001,-40.13688166520321,19.67070518251851,1
831.85,-51.23373820383097,20.536652017933445,0
933.6,-40.044743729693394,19.747539577527355,1
916.22,-40.0230674997784,20.142304418498334,1
1277.1000000000001,-51.01079050989166,20.412135555022232,0
1816.71,-40.144111265476944,19.63352554410469,1
1866.48,-40.1377986847196,20.013812164581,1
1126.05,-40.09205806318675,19.575613734359372,1
1908.6200000000001,-56.13395123555545,19.795040858364374,0
1408.0700000000002,-40.032514046845414,19.664999482687662,1
76.79,-40.117970180213,19.204194527292763,1
379.78,-40.047808173120075,20.2589475345495,1
1694.91,-49.993414060283854,19.53134463904505,0
1403.52,-40.12764475050462,19.67091482555771,1
373.34,-53.5163051471158,20.21902481736999,0
1125.7,-40.03103626286454,19.716553839807034,1
693.9300000000001,-40.07248102646013,19.343617442096672,1
1804.34,-40.11106108297755,19.542696594249467,1
937.03,-40.083434407333584,20.08958341959732,1
50.31000000000001,-40.01472887081621,19.86716744190341,1
1163.39,-40.0784927736631,19.600669040309835,1
1057.22,-60.76796849382174,19.72129041466893,0
476.81,-40.005884695838276,20.40851245131513,1
488.89000000000004,-51.34347293753614,20.07995637781477,0
797.07,-50.467089752974445,19.039034450738697,0
395.82,-44.369310363735536,19.601868800080332,0
442.54,-61.84239655191034,19.91017159991003,0
183.46,-55.8593152059511,19.4131294754254,0
1738.8500000000001,-40.15055104596109,19.81656360939862,1
1203.0,-55.11943915380604,20.20438532592686,0
1405.25,-40.123608258337086,19.515083749253964,1
726.5400000000001,-48.906461017277785,20.34222336180545,0
1322.21,-50.00704555033428,20.08698988345939,0
1544.93,-53.47547951862977,19.002313429456517,0
1554.5600000000002,-40.00406058282156,20.638809974127625,1
256.47,-40.14081200314172,20.98812442647932,1
1690.8100000000002,-40.05549025708011,19.834958776319162,1
1983.42,-40.04159176074021,20.368134235639367,1
1045.44,-42.93615965154226,19.605408895685322,0
0.030000000000000002,-64.43987520729685,19.798634472571994,0
1025.05,-40.02734628001004,19.41880190181754,1
555.8100000000001,-54.95011089029427,19.795697528910804,0
1060.99,-40.02959030470316,19.90788089021554,1
1428.96,-40.10814180020144,19.285388590498602,1
1014.38,-40.13133572772744,19.9206189196492,1
1673.22,-46.4257579072011,19.83721215235954,0
1111.76,-41.82106156636294,20.29232505011843,0
415.30000000000007,-40.064998954038806,19.86091670660663,1
525.2800000000001,-43.2469183194636,20.280938093720568,0
68.82000000000001,-40.1489079406186,20.08375148948829,1
185.44000000000003,-40.81153194978948,20.010048462649937,0
1036.43,-40.13275714736964,20.30425709853771,1
1908.0400000000002,-40.08259712382918,19.730112739238596,1
1955.6000000000001,-42.16205505199042,20.094884376512848,0
99.28,-56.911936729441884,19.93423117579436,0
815.13,-40.01973835870168,19.871352274818783,1
1453.5200000000002,-40.1321272644934,20.04018394075732,1
871.3400000000001,-40.039938617165326,19.967699872947904,1
21.11,-50.74465712774411,19.72445754812829,0
1822.88,-59.35337343388565,19.407510257142242,0
978.7000000000002,-52.39789464487461,20.015663427127993,0
1789.3200000000002,-49.79486772255135,19.63282560095389,0
1912.23,-54.39162231379525,19.81735131149135,0
839.69,-57.45715367345969,20.207834750196934,0
